"user_id","user_name","en_level","hourly_rate","en_spell","en_vocab","en_skills","en_usage","en_ar_trans","fr_spell","fr_vocab","fr_usage","en_fr_trans","de_spell","de_vocab","en_de_trans","birth_country","home_country","hours_per_week","is_pro"
"18","daniels","5.0","20.00","51","52","67","71",,,,,,"95","75","89","81","55","20","t"
"28","martinaz","5.0","20.00","84","58","73","58",,,,,,"75","62","96","81","81","8","t"
"46","christianp","5.0","29.00","95","98","92","99",,,,,,"95","96","96","15","15","2","t"
"4","juliaa","5.0","15.56","84","71","83","82",,,,,,"88","90","79","81","81","20","t"
"30","nicolasr","5.0","15.56","72","95","73","99",,"88","65","93","92",,,,"74","174","30","t"
"47","katrinb","5.0","16.00","95","95","98","92",,,,,,"88","96","100","81","81","15","t"
"53","alexandras","5.0","55.56","95","98","98","92",,,,,,"99","96","96","81","81","15","t"
"24","lailaa","5.0","11.11","84","98","83","95","95","96",,,,,,,"122","122","30","t"
"45","mandif","5.0","27.78","72","47","78","88","82",,,,,,,,"64","64","25","t"
"51","amala","5.0","5.00","84","77","95","77","95",,,,,,,,"64","64","10","t"
"57","robertk","5.0","13.33","95","78","92","77",,,,,,"59","83","96","81","81","20","t"
"25","monicam","5.0","11.11","51","47","67","38",,,,,,"82","99","96","211","53","15","t"
"59","ziado","5.0","10.00","36","58","98","45","82",,,,"51",,,,"222","222","105","t"
"60","karenm","5.0","16.67","51","78","67","77",,,,,,"82","83","79","81","231","30","t"
"38","thabeta","5.0","25.00","95","38","67","33","95",,,,,,,,"169","169","10","t"
"43","anasq","5.0","30.00","60",98,"95","64","95",,,,,,,,"212","231","10","t"
"13","ninaz","5.0","16.67","51","84","78","82",,,,,,"66","90","59","81","81","20","t"
"19","lindas","5.0","16.67","31","43","55","28",,"88","92","81","86",,,,"74","74","8","t"
"42","lucienb","5.0","27.78","95","95","99","97",,"99","99","99","99","99","99","96","74","81","25","t"
"40","raniae","5.0","22.22","43","95","78","77",,,,,,,,,"64","64","70","t"
"20","norbertf","5.0","18.89","72","95","92","71",,"68","97","87","92",,,,"236","231","4","t"
"29","gannas","5.0","20.00","60","64","61","45",,"68","86","97","92",,,,"228","74","5","t"
"55","ramid","5.0","14.44","72","71","67","52","95",,,,"79",,,,"122","122","20","t"
"6","arabela","5.0","20.00","72","71","92","88",,,,,,"88","90","96","81","204","40","t"
"32","emilieb","5.0","13.33","19","71","73","51",,"68","53","62","99",,,,"39","231","1","t"
"33","fedyb","5.0","11.11","84","90","61","23","95","59","65","49","79",,,,"222","222","7","t"
"48","katlynq","5.0","50.00","22","58","88","64","17",,,,,,,,"231","230","2","t"
"31","jeanpb","5.0","18.89","95","77","95","64",,"68","100","99","96",,,,"74","74","20","t"
"37","soukeinam","5.0","7.00","36","95","92","77",,"77","86","80","99",,,,"74","149","4","t"
"7","elinaa","4.0","20.00","84","77","67","64",,"96","92","81","92",,,,"131","131","30","t"
"16","nourani","5.0","37.00","60","84","97","77","65",,,,,,,,"64","64","18","t"
"49","yasere","5.0","11.11","60","58","55","38","82",,,,,,,,"64","64","35","t"
"14","andreasm","5.0","14.99","72","98","88","88",,,,,,"88","96","100","81","136","20","t"
"10","mustafey","5.0","6.67","95","95","78","82","95",,,,,,,,"201","133","40","t"
"56","sdaa","4.0","3.00","72","98","78","77","95",,,,,,,,"229","229","30","t"
"39","jeand","5.0","14.44","72","77","78","33",,"96","86","61","86",,,,"39","39","35","t"
"12","petrar","5.0","11.99","95","77","92","64",,,,,,"95","83","96","81","230","4","t"
"5","bettinab","5.0","13.89","72","95","73","82",,,,,,"99","75","79","181","181","20","t"
"52","rebeccab","5.0","24.44","95","84","83","92",,"99","99","97","92",,,,"74","107","20","t"
"26","benn","5.0","10.00","84","58","73","71","95","88","86","87","96",,,,"222","74","30","t"
"35","gabrielaw","5.0","15.98","51","77","92","64",,,,,,"95","75","96","211","11","10","t"
"11","alaae","5.0","3.33","95","84","61","38","95",,,,,,,,"64","64","30","t"
"50","asmao","5.0","17.78","31","24","88","38","95","46","47",,"71",,,,"149","22","40","t"
"8","lucs","5.0","22.22","84","95","97","92",,"68","66","62","96",,"54",,"22","22","2","t"
"54","markuss","5.0","30.00","51","16","67","33",,,,,,"88","69","96","81","216","20","t"
"41","jeansm","5.0","16.67","84","84","83","82",,"88","92","80","92",,,,"74","142","20","t"
"17","sylvied","5.0","17.78","84","95","97","95",,"96","100","97","96",,,,"74","231","10","t"
"61","zakim","5.0","11.89","14","58","88","83","82",,,,,,,,"64","64","40","t"
"23","amirm","5.0","11.11","51","52","78","38","95","96","79","93","57",,,,"222","222","5","t"
"34","sanah","5.0","22.22","72",100,67,"88","82","68",,,,,,,"122","122","70","t"
"22","amrel","5.0","6.67","84","98","92","88","95",,,,"20",,,,"64","64","8","t"
"21","maherm","5.0","11.11","95","84","67","58","82","88","97","87","92",,,,"222","222","15","t"
"9","jeannek","5.0","11.11","95","95","99","99",,"96","97","81","71",,,,"231","231","3","t"
"3","elenat","5.0","16.67","72","98","83","92",,,,,,"74","90","96","182","182","25","t"
"15","stefanieg","5.0","22.22","95","77","83","58",,,,,,"81","90","96","81","108","12","t"
"36","munnaa","5.0","16.67","51","58","49","33",,,,,,"52","29","79","81","231","35","t"
