"user_id","birth_country_id","home_country_id","hours_per_week","is_pro_translator"
1,2,4,10,t
2,,,,f
3,182,182,25,t
4,81,81,20,t
5,181,181,20,t
6,81,204,40,t
7,131,131,30,t
8,22,22,2,t
9,231,231,3,t
10,201,133,40,t
11,64,64,30,t
12,81,230,4,t
13,81,81,20,t
14,81,136,20,t
15,81,108,12,t
16,64,64,18,t
17,74,231,10,t
18,81,55,20,t
19,74,74,8,t
20,236,231,4,t
21,222,222,15,t
22,64,64,8,t
23,222,222,5,t
24,122,122,30,t
25,211,53,15,t
26,222,74,30,t
28,81,81,8,t
29,228,74,5,t
30,74,174,30,t
31,74,74,20,t
32,39,231,1,t
33,222,222,7,t
34,122,122,70,t
35,211,11,10,t
36,81,231,35,t
37,74,149,4,t
38,169,169,10,t
39,39,39,35,t
40,64,64,70,t
41,74,142,20,t
42,74,81,25,t
43,212,231,10,t
45,64,64,25,t
46,15,15,2,t
47,81,81,15,t
48,231,230,2,t
49,64,64,35,t
50,149,22,40,t
51,64,64,10,t
52,74,107,20,t
53,81,81,15,t
54,81,216,20,t
55,122,122,20,t
56,229,229,30,t
57,81,81,20,t
59,222,222,105,t
60,81,231,30,t
61,64,64,40,t
