is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-03-16 02:17:21.008983-07	2	t	23	22
f	2012-03-16 02:19:13.030715-07	2	t	35	31
f	2012-03-16 02:20:45.937443-07	2	t	25	21
f	2012-03-16 02:21:38.131149-07	2	t	18	14
f	2012-03-16 02:22:32.018402-07	2	t	21	19
f	2012-03-16 02:23:50.988896-07	2	t	22	18
f	2012-03-16 02:03:07.801933-07	2	t	25	25
f	2012-03-16 02:06:18.746195-07	2	t	26	23
f	2012-03-16 02:07:49.704257-07	2	t	18	17
f	2012-03-16 02:09:23.731402-07	2	t	14	12
f	2012-03-16 02:10:43.652782-07	2	t	16	18
f	2012-03-16 02:12:36.037814-07	2	t	23	23
f	2012-03-16 02:15:41.480032-07	2	t	23	23
f	2012-03-16 02:16:43.725577-07	2	t	20	18
f	2012-03-16 02:36:52.836751-07	1	t	41	42
f	2012-03-16 02:37:59.994663-07	1	t	19	17
f	2012-03-16 02:39:28.241835-07	1	t	23	21
f	2012-03-16 02:42:29.131499-07	1	t	43	38
f	2012-03-16 02:44:12.163396-07	1	t	28	28
f	2012-03-16 02:26:25.902746-07	1	t	27	27
f	2012-03-16 02:27:00.481186-07	1	t	12	13
f	2012-03-16 02:28:19.762571-07	1	t	24	19
f	2012-03-16 02:28:59.490506-07	1	t	14	15
f	2012-03-16 02:30:25.655514-07	1	t	14	14
f	2012-03-16 02:32:10.890759-07	1	t	23	27
f	2012-03-16 02:33:12.218086-07	1	t	14	15
f	2012-03-16 02:33:59.098116-07	1	t	15	15
