is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-03-21 21:12:10.380682-07	2	t	23	22
f	2012-03-21 21:16:45.795727-07	2	t	35	38
f	2012-03-21 21:21:21.58115-07	2	t	25	28
f	2012-03-21 21:24:19.96518-07	2	t	18	19
f	2012-03-21 21:26:39.710113-07	2	t	21	22
f	2012-03-21 21:29:49.753353-07	2	t	22	25
f	2012-03-21 21:38:09.129518-07	2	t	25	30
f	2012-03-21 21:44:42.426125-07	2	t	26	26
f	2012-03-21 21:49:02.729085-07	2	t	18	22
f	2012-03-21 21:51:43.700229-07	2	t	14	13
f	2012-03-21 21:54:29.482439-07	2	t	16	17
f	2012-03-21 21:57:27.023436-07	2	t	23	23
f	2012-03-21 22:03:12.569561-07	2	t	23	23
f	2012-03-21 22:07:23.265824-07	2	t	20	19
f	2012-03-21 19:41:33.424632-07	1	t	41	39
f	2012-03-21 19:47:25.671552-07	1	t	19	20
f	2012-03-21 19:55:51.501797-07	1	t	23	24
f	2012-03-21 20:05:31.58503-07	1	t	43	44
f	2012-03-21 20:11:13.8494-07	1	t	28	29
f	2012-03-21 20:18:53.61953-07	1	t	27	27
f	2012-03-21 20:21:35.882338-07	1	t	12	14
f	2012-03-21 20:27:52.772407-07	1	t	24	21
f	2012-03-21 20:31:08.044778-07	1	t	14	16
f	2012-03-21 20:32:56.318559-07	1	t	14	13
f	2012-03-21 20:38:43.551326-07	1	t	23	23
f	2012-03-21 20:40:54.375866-07	1	t	14	13
f	2012-03-21 20:45:26.565271-07	1	t	15	16
