srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,rank
English,Arabic,19,en-ar.test,19,A156UN1VM5KXAQ,30,59,18,40,2
English,Arabic,20,en-ar.test,20,A156UN1VM5KXAQ,15,33,27,55,2
English,Arabic,21,en-ar.test,21,A156UN1VM5KXAQ,18,40,1,10,11
English,Arabic,13,en-ar.test,13,A240PUH4BYO6KR,49,79,11,24,2
English,Arabic,14,en-ar.test,14,A240PUH4BYO6KR,48,78,1,10,11
English,Arabic,15,en-ar.test,15,A240PUH4BYO6KR,48,78,24,51,1
English,Arabic,19,en-ar.test,19,AQNOTFW1HV5JG,11,24,49,79,1
English,Arabic,20,en-ar.test,20,AQNOTFW1HV5JG,32,61,18,40,1
English,Arabic,21,en-ar.test,21,AQNOTFW1HV5JG,21,48,27,55,2
English,Arabic,10,en-ar.test,10,A240PUH4BYO6KR,22,49,24,51,11
English,Arabic,11,en-ar.test,11,A240PUH4BYO6KR,30,59,1,10,2
English,Arabic,12,en-ar.test,12,A240PUH4BYO6KR,32,61,27,55,2
English,Arabic,7,en-ar.test,7,A156UN1VM5KXAQ,21,48,48,78,2
English,Arabic,8,en-ar.test,8,A156UN1VM5KXAQ,32,61,27,55,1
English,Arabic,9,en-ar.test,9,A156UN1VM5KXAQ,15,33,47,77,1
English,Arabic,10,en-ar.test,10,AQNOTFW1HV5JG,15,33,49,79,1
English,Arabic,11,en-ar.test,11,AQNOTFW1HV5JG,11,24,49,79,1
English,Arabic,12,en-ar.test,12,AQNOTFW1HV5JG,22,49,15,33,2
English,Arabic,22,en-ar.test,22,AQNOTFW1HV5JG,32,61,28,56,1
English,Arabic,23,en-ar.test,23,AQNOTFW1HV5JG,1,10,28,56,2
English,Arabic,24,en-ar.test,24,AQNOTFW1HV5JG,10,23,49,79,1
English,Arabic,1,en-ar.test,1,AQNOTFW1HV5JG,15,33,11,24,1
English,Arabic,2,en-ar.test,2,AQNOTFW1HV5JG,28,56,15,33,1
English,Arabic,3,en-ar.test,3,AQNOTFW1HV5JG,27,55,30,59,2
English,Arabic,16,en-ar.test,16,A22S5BDC3RQHWO,22,49,11,24,1
English,Arabic,17,en-ar.test,17,A22S5BDC3RQHWO,47,77,27,55,1
English,Arabic,18,en-ar.test,18,A22S5BDC3RQHWO,22,49,24,51,2
English,Arabic,16,en-ar.test,16,A3D4U1VY8VSDI6,30,59,15,33,1
English,Arabic,17,en-ar.test,17,A3D4U1VY8VSDI6,48,78,22,49,1
English,Arabic,18,en-ar.test,18,A3D4U1VY8VSDI6,10,23,28,56,2
English,Arabic,22,en-ar.test,22,AQNOTFW1HV5JG,48,78,15,33,1
English,Arabic,23,en-ar.test,23,AQNOTFW1HV5JG,2,11,21,48,1
English,Arabic,24,en-ar.test,24,AQNOTFW1HV5JG,28,56,49,79,1
English,Arabic,19,en-ar.test,19,AQNOTFW1HV5JG,22,49,2,11,2
English,Arabic,20,en-ar.test,20,AQNOTFW1HV5JG,10,23,24,51,1
English,Arabic,21,en-ar.test,21,AQNOTFW1HV5JG,22,49,15,33,11
English,Arabic,10,en-ar.test,10,AQNOTFW1HV5JG,47,77,27,55,1
English,Arabic,11,en-ar.test,11,AQNOTFW1HV5JG,30,59,10,23,1
English,Arabic,12,en-ar.test,12,AQNOTFW1HV5JG,48,78,24,51,2
English,Arabic,10,en-ar.test,10,A156UN1VM5KXAQ,47,77,27,55,1
English,Arabic,11,en-ar.test,11,A156UN1VM5KXAQ,30,59,10,23,2
English,Arabic,12,en-ar.test,12,A156UN1VM5KXAQ,48,78,24,51,1
English,Arabic,10,en-ar.test,10,A2IC9J5H77O3O5,47,77,27,55,1
English,Arabic,11,en-ar.test,11,A2IC9J5H77O3O5,30,59,10,23,1
English,Arabic,12,en-ar.test,12,A2IC9J5H77O3O5,48,78,24,51,11
English,Arabic,7,en-ar.test,7,AQNOTFW1HV5JG,18,40,11,24,2
English,Arabic,8,en-ar.test,8,AQNOTFW1HV5JG,32,61,45,75,1
English,Arabic,9,en-ar.test,9,AQNOTFW1HV5JG,28,56,21,48,1
English,Arabic,4,en-ar.test,4,A156UN1VM5KXAQ,24,51,18,40,2
English,Arabic,5,en-ar.test,5,A156UN1VM5KXAQ,45,75,15,33,1
English,Arabic,6,en-ar.test,6,A156UN1VM5KXAQ,1,10,30,59,11
English,Arabic,16,en-ar.test,16,A156UN1VM5KXAQ,21,48,10,23,2
English,Arabic,17,en-ar.test,17,A156UN1VM5KXAQ,2,11,21,48,1
English,Arabic,18,en-ar.test,18,A156UN1VM5KXAQ,21,48,49,79,2
English,Arabic,1,en-ar.test,1,A3D4U1VY8VSDI6,21,48,28,56,2
English,Arabic,2,en-ar.test,2,A3D4U1VY8VSDI6,47,77,48,78,2
English,Arabic,3,en-ar.test,3,A3D4U1VY8VSDI6,2,11,15,33,2
English,Arabic,25,en-ar.test,25,A2PB7ZQJM2K74T,45,75,49,79,1
English,Arabic,26,en-ar.test,26,A2PB7ZQJM2K74T,10,23,32,61,1
English,Arabic,27,en-ar.test,27,A2PB7ZQJM2K74T,45,75,22,49,1
English,Arabic,13,en-ar.test,13,AZPPKDVC1DES0,45,75,27,55,1
