is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-03-21 01:23:14.892735-07	2	t	23	18
f	2012-03-21 01:24:56.23567-07	2	t	35	24
f	2012-03-21 01:26:46.63483-07	2	t	25	19
f	2012-03-21 01:27:34.950657-07	2	t	18	14
f	2012-03-21 01:29:01.708296-07	2	t	21	17
f	2012-03-21 01:30:43.595584-07	2	t	22	20
f	2012-03-21 01:33:21.027955-07	2	t	25	25
f	2012-03-21 01:36:12.33625-07	2	t	26	22
f	2012-03-21 01:37:17.344465-07	2	t	18	16
f	2012-03-21 01:39:18.618772-07	2	t	14	16
f	2012-03-21 01:42:06.610997-07	2	t	16	21
f	2012-03-21 01:44:35.147131-07	2	t	23	27
f	2012-03-21 01:45:13.878041-07	2	t	23	21
f	2012-03-21 01:46:15.897795-07	2	t	20	17
f	2012-03-21 01:50:09.190401-07	1	t	41	29
f	2012-03-21 01:51:03.591578-07	1	t	19	18
f	2012-03-21 01:51:45.702873-07	1	t	23	14
f	2012-03-21 01:53:37.293844-07	1	t	43	34
f	2012-03-21 01:55:16.495793-07	1	t	28	21
f	2012-03-21 01:57:04.215885-07	1	t	27	27
f	2012-03-21 01:57:32.022191-07	1	t	12	9
f	2012-03-21 01:58:50.773335-07	1	t	24	15
f	2012-03-21 01:59:33.816531-07	1	t	14	12
f	2012-03-21 02:00:36.591611-07	1	t	14	12
f	2012-03-21 02:01:52.018301-07	1	t	23	17
f	2012-03-21 02:02:34.995756-07	1	t	14	8
f	2012-03-21 02:04:17.606208-07	1	t	15	12
