is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-03-16 05:14:41.437722-07	2	t	23	16
f	2012-03-16 05:16:49.964766-07	2	t	35	24
f	2012-03-16 05:18:34.401598-07	2	t	25	22
f	2012-03-16 05:20:56.718858-07	2	t	18	20
f	2012-03-16 05:22:28.784437-07	2	t	21	20
f	2012-03-16 05:24:21.988067-07	2	t	22	22
f	2012-03-16 04:55:32.899804-07	2	t	25	28
f	2012-03-16 04:58:25.767957-07	2	t	26	25
f	2012-03-16 05:01:02.332395-07	2	t	18	21
f	2012-03-16 05:02:27.790838-07	2	t	14	14
f	2012-03-16 05:05:31.416868-07	2	t	16	18
f	2012-03-16 05:08:39.95472-07	2	t	23	30
f	2012-03-16 05:11:00.508529-07	2	t	23	22
f	2012-03-16 05:12:35.099191-07	2	t	20	23
f	2012-03-16 04:28:48.752928-07	1	t	41	33
f	2012-03-16 04:30:35.128034-07	1	t	19	19
f	2012-03-16 04:32:22.910495-07	1	t	23	16
f	2012-03-16 04:35:45.062782-07	1	t	43	38
f	2012-03-16 04:37:33.340933-07	1	t	28	24
f	2012-03-16 04:39:47.387909-07	1	t	27	28
f	2012-03-16 04:40:34.806716-07	1	t	12	10
f	2012-03-16 04:42:43.218534-07	1	t	24	23
f	2012-03-16 04:44:09.997551-07	1	t	14	15
f	2012-03-16 04:45:15.51886-07	1	t	14	15
f	2012-03-16 04:47:37.89342-07	1	t	23	25
f	2012-03-16 04:49:23.473384-07	1	t	14	18
f	2012-03-16 04:51:13.78626-07	1	t	15	14
