is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-03-22 08:24:21.545653-07	2	t	23	27
f	2012-03-22 08:28:23.387193-07	2	t	35	34
f	2012-03-22 08:31:51.834224-07	2	t	25	28
f	2012-03-22 08:34:54.672382-07	2	t	18	18
f	2012-03-22 08:36:50.462204-07	2	t	21	18
f	2012-03-22 08:38:27.424258-07	2	t	22	23
f	2012-03-22 08:43:12.713817-07	2	t	25	35
f	2012-03-22 08:50:55.905265-07	2	t	26	31
f	2012-03-22 08:52:32.85397-07	2	t	18	22
f	2012-03-22 08:54:33.306419-07	2	t	14	17
f	2012-03-22 08:56:09.353251-07	2	t	16	24
f	2012-03-22 08:58:15.052187-07	2	t	23	28
f	2012-03-22 08:59:36.876637-07	2	t	23	29
f	2012-03-22 09:00:14.862904-07	2	t	20	21
f	2012-03-22 09:11:55.453514-07	1	t	41	40
f	2012-03-22 09:15:07.263462-07	1	t	19	20
f	2012-03-22 09:16:28.446382-07	1	t	23	20
f	2012-03-22 09:19:35.692101-07	1	t	43	44
f	2012-03-22 09:21:28.226478-07	1	t	28	32
f	2012-03-22 09:23:16.315399-07	1	t	27	30
f	2012-03-22 09:24:02.998778-07	1	t	12	10
f	2012-03-22 09:26:51.814856-07	1	t	24	26
f	2012-03-22 09:27:55.773012-07	1	t	14	16
f	2012-03-22 09:29:00.118595-07	1	t	14	16
f	2012-03-22 09:33:10.380738-07	1	t	23	27
f	2012-03-22 09:34:25.217695-07	1	t	14	16
f	2012-03-22 09:36:42.534985-07	1	t	15	17
