is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-03-19 05:34:38.216915-07	2	t	23	24
f	2012-03-19 05:36:30.925827-07	2	t	35	35
f	2012-03-19 05:39:21.036389-07	2	t	25	31
f	2012-03-19 05:42:00.837927-07	2	t	18	17
f	2012-03-19 05:43:58.131085-07	2	t	21	21
f	2012-03-19 05:45:16.611791-07	2	t	22	25
f	2012-03-19 05:47:44.808736-07	2	t	25	36
f	2012-03-19 05:51:51.617423-07	2	t	26	37
f	2012-03-19 05:55:13.977013-07	2	t	18	24
f	2012-03-19 05:57:45.343815-07	2	t	14	16
f	2012-03-19 06:00:07.968504-07	2	t	16	24
f	2012-03-19 06:02:26.033953-07	2	t	23	30
f	2012-03-19 06:03:10.262083-07	2	t	23	32
f	2012-03-19 06:04:36.711441-07	2	t	20	21
f	2012-03-19 06:35:40.441302-07	1	t	41	46
f	2012-03-19 06:39:15.116348-07	1	t	19	21
f	2012-03-19 06:43:04.957803-07	1	t	23	19
f	2012-03-19 06:49:20.763962-07	1	t	43	38
f	2012-03-19 06:52:39.867227-07	1	t	28	29
f	2012-03-19 06:08:25.476361-07	1	t	27	30
f	2012-03-19 06:10:08.800198-07	1	t	12	12
f	2012-03-19 06:15:29.237901-07	1	t	24	26
f	2012-03-19 06:16:46.504914-07	1	t	14	14
f	2012-03-19 06:18:48.772842-07	1	t	14	16
f	2012-03-19 06:23:32.56192-07	1	t	23	24
f	2012-03-19 06:25:32.504208-07	1	t	14	16
f	2012-03-19 06:28:37.362532-07	1	t	15	18
