is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-03-19 09:48:14.101603-07	2	t	23	20
f	2012-03-19 09:51:46.539879-07	2	t	35	37
f	2012-03-19 09:55:47.723066-07	2	t	25	29
f	2012-03-19 09:57:39.463171-07	2	t	18	14
f	2012-03-19 09:59:28.136801-07	2	t	21	17
f	2012-03-19 10:00:29.267755-07	2	t	22	24
f	2012-03-19 10:06:35.878568-07	2	t	25	40
f	2012-03-19 10:12:36.962548-07	2	t	26	35
f	2012-03-19 10:15:11.698006-07	2	t	18	25
f	2012-03-19 10:17:25.772049-07	2	t	14	12
f	2012-03-19 10:19:54.444986-07	2	t	16	21
f	2012-03-19 10:24:06.629343-07	2	t	23	32
f	2012-03-19 10:26:45.519885-07	2	t	23	32
f	2012-03-19 10:30:05.864558-07	2	t	20	21
f	2012-03-19 10:55:20.094551-07	1	t	41	40
f	2012-03-19 10:58:11.78265-07	1	t	19	20
f	2012-03-19 11:01:16.842991-07	1	t	23	21
f	2012-03-19 11:06:08.519836-07	1	t	43	39
f	2012-03-19 11:08:33.885726-07	1	t	28	28
f	2012-03-19 10:35:25.437111-07	1	t	27	30
f	2012-03-19 10:36:49.084855-07	1	t	12	10
f	2012-03-19 10:39:25.224862-07	1	t	24	27
f	2012-03-19 10:41:19.428851-07	1	t	14	16
f	2012-03-19 10:43:21.112322-07	1	t	14	18
f	2012-03-19 10:46:39.577948-07	1	t	23	22
f	2012-03-19 10:48:23.207408-07	1	t	14	16
f	2012-03-19 10:50:01.184617-07	1	t	15	17
